#Delay (ns)	3-1-2	3-1	3-2
-6.354989	5.19014E-7	0.07962	0.04024
-6.274034	1.73005E-7	0.03278	0.08785
-6.193078	5.12360E-7	0.07570	0.04106
-6.112123	1.92967E-7	0.03366	0.08919
-6.031168	3.46009E-7	0.07718	0.04182
-5.950213	1.79659E-7	0.03469	0.09024
-5.869257	4.52474E-7	0.07764	0.04152
-5.788302	1.79659E-7	0.03451	0.08998
-5.707347	4.12550E-7	0.07935	0.04258
-5.626391	2.19583E-7	0.03606	0.08986
-5.545436	4.45820E-7	0.07996	0.04190
-5.464481	1.46389E-7	0.03728	0.09179
-5.383526	4.12550E-7	0.08108	0.04230
-5.302570	2.32891E-7	0.03658	0.09169
-5.221615	3.65971E-7	0.08057	0.04354
-5.140660	1.59697E-7	0.03711	0.09127
-5.059705	4.05896E-7	0.08084	0.04157
-4.978749	1.59697E-7	0.03704	0.09124
-4.897794	4.05896E-7	0.08075	0.04251
-4.816839	1.59697E-7	0.03777	0.09166
-4.735883	5.19014E-7	0.08187	0.04109
-4.654928	1.73005E-7	0.03711	0.09261
-4.573973	3.85933E-7	0.07892	0.04032
-4.493018	1.53043E-7	0.03768	0.09364
-4.412062	4.12550E-7	0.07886	0.04124
-4.331107	2.12929E-7	0.03811	0.09564
-4.250152	4.05896E-7	0.08092	0.04093
-4.169197	2.12929E-7	0.03790	0.09300
-4.088241	4.39166E-7	0.07955	0.03971
-4.007286	1.79659E-7	0.03823	0.09364
-3.926331	4.32512E-7	0.08090	0.04343
-3.845375	1.79659E-7	0.03775	0.09416
-3.764420	3.92587E-7	0.08098	0.04258
-3.683465	1.86313E-7	0.03772	0.09200
-3.602510	4.32512E-7	0.08226	0.04295
-3.521554	1.39735E-7	0.03877	0.09515
-3.440599	4.52474E-7	0.08260	0.04301
-3.359644	2.12929E-7	0.04005	0.09614
-3.278689	3.99241E-7	0.08400	0.04367
-3.197733	1.59697E-7	0.03807	0.09903
-3.116778	3.99241E-7	0.08734	0.04637
-3.035823	1.53043E-7	0.03880	0.10225
-2.954867	3.92587E-7	0.08756	0.04879
-2.873912	2.06275E-7	0.04140	0.10684
-2.792957	3.92587E-7	0.09056	0.05332
-2.712002	1.26426E-7	0.04288	0.11499
-2.631046	4.19204E-7	0.09695	0.05776
-2.550091	1.66351E-7	0.04568	0.12819
-2.469136	3.99241E-7	0.10696	0.06538
-2.388181	1.99621E-7	0.04847	0.15090
-2.307225	4.99052E-7	0.11834	0.07724
-2.226270	2.19583E-7	0.05402	0.17997
-2.145315	3.85933E-7	0.13700	0.09500
-2.064359	2.06275E-7	0.06328	0.22404
-1.983404	5.52284E-7	0.17067	0.12141
-1.902449	1.99621E-7	0.07925	0.29788
-1.821494	3.99241E-7	0.20865	0.16791
-1.740538	2.39545E-7	0.10501	0.41268
-1.659583	4.52474E-7	0.28360	0.24007
-1.578628	2.12929E-7	0.15279	0.62269
-1.497673	5.05706E-7	0.40998	0.36859
-1.416717	3.39355E-7	0.22748	1.01113
-1.335762	5.92208E-7	0.64054	0.64603
-1.254807	3.59317E-7	0.37105	1.81208
-1.173851	7.31943E-7	1.09723	1.18749
-1.092896	2.72815E-7	0.68023	3.58898
-1.011941	7.98483E-7	2.06757	2.46037
-0.930986	3.32701E-7	1.32324	7.51214
-0.850030	7.78521E-7	4.01196	4.96852
-0.769075	4.32512E-7	2.50383	14.32601
-0.688120	7.91829E-7	7.48953	8.51044
-0.607165	3.99241E-7	4.55468	21.88441
-0.526209	9.11601E-7	12.22794	10.84715
-0.445254	4.05896E-7	6.67282	23.84089
-0.364299	1.08461E-6	16.23980	9.75635
-0.283343	2.99431E-7	8.17736	17.78803
-0.202388	8.18445E-7	17.27529	5.90406
-0.121433	3.65971E-7	7.86022	9.35245
-0.040478	7.98483E-7	14.74406	2.67082
0.040478	3.12739E-7	6.07451	3.85077
0.121433	7.71867E-7	10.55610	0.98601
0.202388	2.86123E-7	4.09699	1.37105
0.283343	6.38786E-7	6.89004	0.38015
0.364299	2.72815E-7	2.59626	0.59153
0.445254	4.85744E-7	4.39295	0.19437
0.526209	2.12929E-7	1.66310	0.31611
0.607165	3.99241E-7	2.82380	0.11501
0.688120	1.99621E-7	1.06578	0.20877
0.769075	5.38976E-7	1.86776	0.08165
0.850030	2.12929E-7	0.71064	0.15775
0.930986	5.12360E-7	1.27894	0.06599
1.011941	2.39545E-7	0.49359	0.13131
1.092896	4.65782E-7	0.88084	0.05562
1.173851	1.79659E-7	0.33934	0.11617
1.254807	4.39166E-7	0.62797	0.05167
1.335762	1.99621E-7	0.24703	0.10808
1.416717	4.45820E-7	0.45697	0.04848
1.497673	1.73005E-7	0.17663	0.10203
1.578628	4.12550E-7	0.34429	0.04744
1.659583	2.72815E-7	0.13560	0.09787
1.740538	4.19204E-7	0.26173	0.04653
1.821494	2.46199E-7	0.10404	0.09787
1.902449	4.52474E-7	0.20734	0.04501
1.983404	1.99621E-7	0.08567	0.09534
2.064359	5.65592E-7	0.17180	0.04608
2.145315	2.19583E-7	0.06785	0.09458
2.226270	4.39166E-7	0.14680	0.04415
2.307225	1.66351E-7	0.06025	0.09068
2.388181	4.99052E-7	0.13368	0.04593
2.469136	2.39545E-7	0.05477	0.09419
2.550091	4.32512E-7	0.11636	0.04485
2.631046	2.06275E-7	0.04778	0.09461
2.712002	4.12550E-7	0.10429	0.04422
2.792957	2.12929E-7	0.04775	0.09306
2.873912	4.25858E-7	0.10197	0.04367
2.954867	2.12929E-7	0.04526	0.09334
3.035823	3.85933E-7	0.09747	0.04430
3.116778	1.66351E-7	0.04409	0.09431
3.197733	3.79279E-7	0.09464	0.04354
3.278689	1.79659E-7	0.04322	0.09318
3.359644	4.72436E-7	0.09226	0.04422
3.440599	1.79659E-7	0.04294	0.09512
3.521554	5.25668E-7	0.09179	0.04377
3.602510	1.86313E-7	0.04106	0.09349
3.683465	4.72436E-7	0.08881	0.04269
3.764420	1.59697E-7	0.04154	0.09801
3.845375	5.05706E-7	0.08817	0.04245
3.926331	2.39545E-7	0.04027	0.09315
4.007286	5.05706E-7	0.08570	0.04254
4.088241	2.06275E-7	0.04114	0.09294
4.169197	5.78900E-7	0.08698	0.04313
4.250152	2.12929E-7	0.04142	0.09570
4.331107	4.25858E-7	0.08531	0.04172
4.412062	1.79659E-7	0.04045	0.09909
4.493018	5.05706E-7	0.08561	0.04081
4.573973	1.92967E-7	0.04099	0.09445
4.654928	4.59128E-7	0.08384	0.04112
4.735883	2.46199E-7	0.03988	0.09445
4.816839	4.92398E-7	0.08522	0.04249
4.897794	1.86313E-7	0.04120	0.09386
4.978749	3.85933E-7	0.08381	0.04307
5.059705	1.86313E-7	0.03945	0.09574
5.140660	4.45820E-7	0.08482	0.04245
5.221615	1.92967E-7	0.03933	0.09576
5.302570	4.85744E-7	0.08615	0.04227
5.383526	2.06275E-7	0.04057	0.09497
5.464481	3.99241E-7	0.08408	0.04413
5.545436	3.12739E-7	0.04036	0.09421
5.626391	4.72436E-7	0.08279	0.04233
5.707347	2.39545E-7	0.03901	0.09404
5.788302	4.25858E-7	0.08451	0.04319
5.869257	1.73005E-7	0.03883	0.09419
5.950213	3.79279E-7	0.08616	0.04234
6.031168	1.79659E-7	0.03913	0.09296
6.112123	4.25858E-7	0.08600	0.04494
6.193078	1.46389E-7	0.03825	0.09589
6.274034	4.59128E-7	0.08612	0.04447
6.354989	1.86313E-7	0.03920	0.09316
6.435944	4.05896E-7	0.08603	0.04336
6.516899	1.59697E-7	0.03682	0.09080
6.597855	3.59317E-7	0.08670	0.04458
6.678810	1.79659E-7	0.03589	0.09203
6.759765	5.52284E-7	0.08960	0.04421
6.840721	2.32891E-7	0.03834	0.09331
6.921676	4.25858E-7	0.08579	0.04559
7.002631	1.86313E-7	0.03810	0.09513
7.083586	4.72436E-7	0.08522	0.04464
7.164542	2.26237E-7	0.03942	0.09425
7.245497	4.25858E-7	0.08518	0.04373
7.326452	2.12929E-7	0.03887	0.09528
7.407407	4.25858E-7	0.08487	0.04494
7.488363	2.52853E-7	0.03960	0.09178
7.569318	4.72436E-7	0.08531	0.04130
7.650273	1.99621E-7	0.03905	0.09306
7.731228	5.52284E-7	0.08630	0.04447
7.812184	1.59697E-7	0.03944	0.09616
7.893139	4.45820E-7	0.08615	0.04292
7.974094	2.79469E-7	0.03954	0.09167
8.055050	4.45820E-7	0.08516	0.04316
8.136005	2.06275E-7	0.03774	0.09319
8.216960	3.79279E-7	0.08338	0.04295
8.297915	1.99621E-7	0.03944	0.09436
8.378871	4.25858E-7	0.08332	0.04464
8.459826	2.59507E-7	0.03834	0.09512
8.540781	3.99241E-7	0.08467	0.04108
8.621736	2.26237E-7	0.03978	0.09370
8.702692	4.52474E-7	0.08382	0.04127
8.783647	2.06275E-7	0.03951	0.09693
8.864602	4.65782E-7	0.08297	0.04163
8.945558	2.46199E-7	0.03966	0.09431
9.026513	4.19204E-7	0.08473	0.04123
9.107468	2.46199E-7	0.04006	0.09522
9.188423	4.92398E-7	0.08424	0.04295
9.269379	1.99621E-7	0.04062	0.09307
9.350334	4.25858E-7	0.08287	0.04170
9.431289	1.99621E-7	0.03895	0.09363
9.512244	3.79279E-7	0.08633	0.04230
